#,Name,Type,Division,Displacement Standard (tons),Displacement Full load (tons),Length (m),Beam (m),Draft (m),Speed (knots),Range,Autonomy (days),Propulsion,Armament,Electronics,Complement,Cargo,Passengers,Endurance (days),Special equipment,Capacity (tons),Capacity (c.m.),Destruction Date
,Alexander Ilyin,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,23.6,27.2,19.45,4.4,1.16,52.0,,2.0,2x1523 hp MTU 10V2000M93 diesels. 1x16 kW diesel-generator. 2 Arneson drives,,Furuno marine radar,6.0,,,,,,,2022-10-01
841.0,P-349 Suvorovets,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,138.69,,31.04,7.4,1.86,23.0,,5.0,2x1822 hp MTU 12V2000M93 diesels. 2 fixed pitch propellers. 2x100 kW DGA-100-V-A1-MPS diesel-generators,4x1 SAM system 9K38 Igla launchers (9M39 missiles) 1x1 14.5 mm MTPU-1 Zhalo1x10 55 mm DP-65A grenade launcher (RG-55M. GRS-55 grenades)1x2 45 mm DP-64 grenade launcher (FG-45. SG-45 grenades) 1 diving complex (1 diving chamber). Falcon Underwater Remotely Operated Vehicle,MR-231 navigation radar. MTK-201M3 electronic-optical television system. Filin (P-104) optical system. Kalmar sonar complex. MG-757 Anapa-M anti-saboteur sonar,8.0,,,,,,,2022-10-06
,RK-180,Harbor Boat,68th Coastal Defense Ship Brigade ,,4.0,8.65,2.25,0.5,35.0,,,360 hp diesel,,,1.0,,12,,,,,2022-10-10
64.0,Muromets,ASW Corvette,68th Coastal Defense Ship Brigade ,910,1055.0,71.07,10.15,3.71,31.67,,10.0,1x18000 hp M-8 gas turbine. 2x10000 hp M-507A-1P diesels or 2x10000 hp M-507A-2 diesels. 3 fixed pitch propellers. 1x500 kW ASDG-500 diesel generator. 1x300 kW diesel generator. 1x200 kW diesel generator,1x2 ZIF-122 4K33 Osa-MA SAM system launcher (20 9M33M missiles) - 4R-33A 1x2 or 1x4 9K34 Strela-3 SAM system launcher (8 9M36 missiles) or 9K38 Igla SAM system (8 9M39 missiles)1x1 76 mm AK-176 (304 rounds). 1x6 30 mm AK-630M (3000 rounds) - MR-123 Vympel-A fire control system2x2 533 mm DTA-53-1124 torpedo tubes (4 torpedoes TEST-71. TEST-71M. SET-65. SET-53. SET-53M. 53-65K) - Drakon fire control system1x12 RBU-6000 Smerch-2 (48 RGB-60) 12 BB-1 or BPS depth charges 18 mines,MR-320 Topaz-2V air/surface search radar. Vympel-R2 reconnaissance radar. MR-212 Vaygach navigation radar. Nickel IFF . ARP-50R radio direction finder. Spektr-F laser detection warning system. MGK-335 Platina sonar. MG-339T Shelon sonar. MG-26 Khosta underwater communication system. KMG-12 Kassandra sonar. MGS-407K sonar. MI-110K and MI-110R anti-submarine search station PK-16 decoy RL (2 launchers KL-101) and PK-10 Smely (4 KT-216 launchers),,,,,,,,2022-10-12
,RK-516,Harbor Boat,68th Coastal Defense Ship Brigade ,31.6,38.2,21,3.98,1.31,10.4,,5.0,1x150 hp. diesel 3D6S1. 1 fixed pitch propeller,,,13.0,,,,,,,2022-10-17
,PK-3100,Floating Crane,205th Auxiliary Ship Squad,1624,1950.0,40.36,19.36,1.95,6.0,,,2x120 hp electric motors. 2 fixed pitch propellers. 2x100 kW diesel generators. 2x100 kW diesel generators. 2x28 kW diesel generators,,,15.0,,,,,100,,2022-10-18
833.0,P-407,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,,46.0,21.2,3.93,1.65,11.0,,5.0,1x300 hp 3D12AA diesel. 1x25 kW DGR-25/1500 25 diesel generator. 1x1.2 kW diesel generator,1x7 55 mm MRG-1 Ogonyokgrenade launcher (35 RG-55 grenades. 7 GRS-55 grenades),Lotsiya navigation radar. MG-7 Braslet anti-saboteur sonar,5.0,,,,,,,2022-10-18
609.0,Vushniy Volochek,Missile Corvette,41th Missile Boat Brigade,,949.0,74.1,11.0,2.6,25.0,,10.0,4x3944 hp CHD622V20 diesels. 2 pump-jets,1x8 3S14-21631 UKSK 3K14 launchers (Kalibr guided missile complex (8 3M14T missiles)) – 3R14N fire control system 2x6 3M-47 Gibka SAM system launchers (Igla-1M missiles) 1x1 100 mm A-190-01 – 5P-10-03 Laska fire control system 1x12 30 mm AK-630M-2 Duet 2x1 14.5 mm MTPU-1 Zhalo,5P-26 Pozitiv air/surface search radar. MR-231 navigation radar. MG-757 Anapa-M anti-saboteur sonar PK-10 Smely RL decoy (2 KT-216 launchers),52.0,,,,,,,2022-10-19
,SR-541,Degaussing Ship,205th Auxiliary Ship Squad,1811,2096.0,69.5,13.8,3.98,13.6,,30.0,2x1470 hp Zgoda-Sulzer AL25D diesels. 2 variable pitch propellers. 2x384 kW diesel generators. 1x180 kW diesel generator,,Kivach navigation radar,45.0,,,,,,,2022-10-23
911.0,Ivan Golubets,Seagoing Minesweeper,68th Coastal Defense Ship Brigade ,745,800.0,61,10.2,2.97,17.0,,10.0,2x2500 hp M-503B-3 diesels. 2 fixed pitch propellers in nozzles2x200 kW DGRA-200/1500 diesel generators. 1x100 kW DGRA-100/1500 diesel generator,2x2 30 mm AK-230M - 2000 rounds - MR-104 Rys fire control system2x2 25 mm 2M-3M - 2000 rounds 2x5 RBU-1200M Uragan (68 RGB-12) 32 BB-1 or 7 KMD-1000 mines KIU-1 sweep. BKT contact sweep. TEM-4 magnetic sweep. AT-3 acoustic swwp. ShZ-1 or ShZ-2 detonating cord,MR-302 Rubka air/surface search radar. 2 Don-D navigation radars. Nikhrom-R IFF. MG-69 Lan mine search sonar. MG-79 Mezen mine search sonar. MG-26 Khosta underwater communication system,,,,,,,,2022-10-29
836.0,P-355 Yunarmeets Kryma,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,138.69,,31.04,7.4,1.86,23.0,,5.0,2x1822 hp MTU 12V2000M93 diesels. 2 fixed pitch propellers. 2x100 kW DGA-100-V-A1-MPS diesel-generators,4x1 SAM system 9K38 Igla launchers (9M39 missiles) 1x1 14.5 mm MTPU-1 Zhalo1x10 55 mm DP-65A grenade launcher (RG-55M. GRS-55 grenades)1x2 45 mm DP-64 grenade launcher (FG-45. SG-45 grenades) 1 diving complex (1 diving chamber). Falcon Underwater Remotely Operated Vehicle,MR-231 navigation radar. MTK-201M3 electronic-optical television system. Filin (P-104) optical system. Kalmar sonar complex. MG-757 Anapa-M anti-saboteur sonar,8.0,,,,,,,2022-10-31
,MUS-491,Oil Skimmer,58th Auxiliary Ship Group Feodosia,24.7,39.12,20.7,4.68,1.54,3.3,,3.0,1x115 hp K171-M diesel. 1 rudder propeller,,,2.0,,,,,,15.0,2022-11-01
,RK-1897,Harbor Boat,115th Commandant Office,,,,,,,,,,,,,,,,,,,2022-11-07
,RVK-1149,Diving Boat,314th Rescue Ship Squad Novorossiysk,,82.0,25,4.8,1.4,12.0,,7.0,1x415 hp diesel. 2x40 kW diesel-generators. 1 fixed pitch propeller,,,8.0,,,,1 diving complex (1 pressure chamber) – 60 m,,,2022-11-08
,RVK-1447,Diving Boat,145th Resue Ship Squad,32.5,46.0,21.2,3.93,1.65,11.0,,5.0,1x300 hp 3D12AL diesel. 1x12 kW diesel generator. 1x1.2 kW diesel generator,,,13.0,,,,1 diving complex – 45 m,,,2022-11-19
,BL-004,Harbor Boat,184th Experimental Base,2.95,4.8,8.4,3.15,0.58,27.0,,1.0,2 engines. 2 fixed pitch propellers,,,2.0,,12,,,,,2022-11-20
630.0,Ingushetiya,Missile Corvette,41th Missile Boat Brigade,,949.0,74.1,11.0,2.6,25.0,,10.0,4x3944 hp CHD622V20 diesels. 2 pump-jets,1x8 3S14-21631 UKSK 3K14 launchers (Kalibr guided missile complex (8 3M14T missiles)) – 3R14N fire control system 2x6 3M-47 Gibka SAM system launchers (Igla-1M missiles) 1x1 100 mm A-190-01 – 5P-10-03 Laska fire control system 1x12 30 mm AK-630M-2 Duet 2x1 14.5 mm MTPU-1 Zhalo,5P-26 Pozitiv air/surface search radar. MR-231 navigation radar. MG-757 Anapa-M anti-saboteur sonar PK-10 Smely RL decoy (2 KT-216 launchers),52.0,,,,,,,2022-11-20
,RK-163,Harbor Boat,68th Coastal Defense Ship Brigade ,,4.0,8.65,2.25,0.5,35.0,,,360 hp diesel,,,1.0,,12,,,,,2022-11-21
,RK-1210,Harbor Boat,30th Surface Ship Division,7.785,9.83,12.56,3.23,0.63,13.5,,,1x150 hp 3D6 diesel. 1 fixed pitch propeller,,,2.0,,11,,,,,2022-11-29
997.0,TL-997,Torpedo Retriever,68th Coastal Defense Ship Brigade ,84.7,91.4,29.6,5.99,1.5,22.0,,5.0,2x1200 hp M-50F-4 diesels. 2 fixed pitch propellers,,Donets-2 navigation radar,15.0,,,,,,,2022-12-02
,PK-32050,Floating Crane,205th Auxiliary Ship Squad,1132,1238.0,43.3,20.0,2.01,4.7,,,2 electric motors. 2 fixed pitch propellers. 3x100 kW diesel generators,,,,,,,,50,,2022-12-03
,RB-136,Harbor Tug,205th Auxiliary Ship Squad,451,575.0,36.3,9.95,3.57,13.0,,10.0,2x1260 hp 6ASL25D diesels. 1 bow thruster. 2x100 kW diesel generators. 1x36 kW diesel generator. 1 variable pitch propeller,,,,,,,3 fire monitors,,,2022-12-04
,PK-119025,Floating Crane,13th Ship Repair Plant,891,1060.0,36.52,17.82,1.8,4.0,,14.0,2 electric motors. 2 fixed pitch propellers,,,8.0,,,,,25,,2022-12-06
,RB-244,Harbor Tug,205th Auxiliary Ship Squad,168,192.0,24.4,7.22,2.1,9.0,,,2x300 hp diesels. 2 cycloidal propulsion units,,,4.0,,,,,,,2022-12-08
,PZhS-123,Firefighting Ship,145th Resue Ship Squad,817,910.0,62.55,10.2,3.08,17.5,,20.0,2x2200 hp 40DM diesels. 2 fixed pitch propellers. 1 bow thruster. 2x200 kW diesel generators. 1x150 kW diesel generator,,Donets-2 navigation radar. MGA-21 sonar,39.0,,,,1x1000 m3/h fire monitor. 7x500 m3/h fire monitors,,,2022-12-14
,PK-79050,Floating Crane,58th Auxiliary Ship Group Feodosia,1200,1524.0,40.2,20.0,2.03,4.7,,,2 electric motors. 2 fixed pitch propellers,,,,,,,,50,,2022-12-30
,RK-544,Harbor Boat,184th Experimental Base,,54.0,8.65,2.25,0.5,35.0,,,360 hp diesel,,,1.0,,12,,,,,2022-12-30
494.0,Admiral Grigorovich,Guided Missile Frigate,30th Surface Ship Division,3350,3860.0,124.8,15.2,4.66,30.0,,30.0,1x46000 hp M7N1 (2x6000 hp gas turbines. 2x17000 hp forsage gas turbines). 2 fixed pitch propellers. 4x800 kW diesel-generators,1x8 VLS Kalibr-NK guided missile complex (8 missiles) 2x12 Shtil-1 SAM system VLS (24 missiles)) 1x1 100 mm – A-190-01 2x6 30 mm AK-630M 2x1 12.7 mm 6P58 Kord heavy machine guns8x1 SAM Igla-1Elaunchers 2x2 533 mm DTA-53-11356 torpedo tubes 1x12 RBU-6000 RPK-8E launcher 2x10 55 mm DP-65 grenade launcher 1 Ka-27 or Ka-31 helicopter1 Orlan-10 unmanned aerial vehicle,MR-710 Fregat-M1356). 3Ts-25EK air/surface search radar. MR-212/201-1 Vaygach-U navigation radar. Bridge-Masternavigation radar. Nucleus-2-6000A. TK-25» complex. MGK-335EM-03 Platina sonar. MG-757.1 Anapa-M anti-saboteur sonar. Trebovanie-M combat information control system. Tsentavr satellite communication complex. PK-10 Smely decoy RL (4 KT-216 launchers),220.0,,,,,,,2022-12-31
,RB-398,Harbor Tug,61th Auxiliary Ship Group Novorossiysk,303,417.0,25.4,9.3,3.6,12.0,,,2x1015 hp KTA 38 M1 diesels. 2x84 kW diesel generators. 2 rudder propellers,,,8.0,,,,2x300 m3/h fire monitors,,,2023-01-09
,MGK-1074,Small Hydrographic Boat,47th Hydrographic Area,4.6,5.4,9.09,2.9,0.75,8.0,,1.0,1x55 hp 6ChSP9.5/11-2 diesel. 1 fixed pitch propeller,,,,,,,,,,2023-01-12
,Kildin,Intelligence Ship,519th Independent Intelligence Ship Division,1080,1560.0,73.32,10.8,3.9,17.3,,35.0,2x1800 hp Zgoda-Sulzer 6ТD-48 diesels. 2 controllable pitch propellers. 3x259 kW 5BAH22 diesel-generators. 1x52 kW S324M diesel-generator,SAM system Strela (16 missiles),Bizan ESM radar system. 2 Don navigation radars. sonar MG-329 Sheksna. underwater communication system MG-13. underwater communication system MG-26 Khosta. station MI-110K. special electronics,,,,,,,,2023-01-12
,RB-412,Harbor Tug,205th Auxiliary Ship Squad,303,417.0,25.4,9.3,3.6,12.0,,,2x1015 hp KTA 38 M1 diesels. 2x84 kW diesel generators. 2 rudder propellers,,,8.0,,,,2x300 m3/h fire monitors,,,2023-01-13
,P-345 Buyevlyanin,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,,23.0,16.9,4.1,0.85,48.0,,1.0,2x1150 hp Caterpillar C18 diesels. 2 pump-jets,1x1 14.5 mm 2x1 7.62 mm 6P41 Pecheneg,Nautilus navigation radar,,,,,,,,2023-01-24
,Sokolskoe,Torpedo Retriever,4th Independent Submarine Brigade,,419.0,48.9,9.0,2.4(max – 2.62),20.0,,5.0,2x3945 hp CHD622V20 diesels. 2 fixed propellers. 1 bow thruster. 2 D6-150AF-2 diesel-generators x150 kW,,Mius navigation radar,14.0,6-8 533 mm torpedoes,,,,,,2023-01-29
,Priazovye,Intelligence Ship,519th Independent Intelligence Ship Division,2500,3800.0,91.5,14.5,5.6,16.5,,45.0,2x2200 hp Sulzer 12AV25/30 diesels. 2x150 hp electric motors. 2 fixed pitch propellers. 4x500 kW diesel generators,2x4 9K38 Igla SAM system launchers (16 9M39 missiles) 2x6 30 mm AK-306,MR-212/201 Vaygach-U navigation radar. MG-349 Ros-K sonar. MGP-303 sonar. special electronic intelligence equipment,220.0,,,,,,,2023-02-04
,SR-137,Degaussing Ship,205th Auxiliary Ship Squad,1811,2096.0,69.5,13.8,3.98,13.6,,30.0,2x1470 hp Zgoda-Sulzer AL25D diesels. 2 variable pitch propellers. 2x384 kW diesel generators. 1x180 kW diesel generator,,Kivach navigation radar,45.0,,,,,,,2023-02-05
,SPK-54150,Floating Crane,205th Auxiliary Ship Squad,,2000.0,52.2,22.8,2.4,6.0,,10.0,2 azipods. 3x800 kW diesel-generators,,,25.0,,,,,150,,2023-02-06
,RB-391,Harbor Tug,61th Auxiliary Ship Group Novorossiysk,303,417.0,25.4,9.3,3.6,12.0,,,2x1015 hp KTA 38 M1 diesels. 2x84 kW diesel generators. 2 rudder propellers,,,8.0,,,,2x300 m3/h fire monitors,,,2023-02-06
,Seliger,Research Ship,Temryuk Auxiliary Ship Group,,1040.0,60.6,10.8,3.4,13.5,,20.0,2x950 hp Rolls-Royce 12FP electric motors. 2 azipods. 2 bow thruster. 3x840 kW VA-840 diesel-generators. 2x280 kW VA-280 diesel-generators,,,,,,,1 Type ARS-600 autonomous underwater working vehicle.- 60 m. 1 RT-2500 underwater vehicle (Seliger). 1 Super GNOME underwater vehicle. 1 diving complex (1 hyperbaric chamber),,,2023-02-10
653.0,D-106,Landing Craft,184th Novorossiysk Coastal Defense Brigade,60.3,118.7,24,5.2,1.55,11.0,,3.0,2x300 hp 3D12 diesels. 1x16 kW DGR1A-16/1500-0M4 diesel-generator,,Don navigation radar,4.0,1 T-72 main battle tank or 2 GAZ-66 trucks or 20 troops or 50 tons of cargo,,,,,,2023-02-13
,PZhK-45,Firefighting Boat,145th Resue Ship Squad,145.9,180.8,34.9,6.5,1.85,15.7,,5.0,2x900 hp M50-6 diesels. 1x450 hp 6ChSP23/30 diesel. 3 fixed pitch propellers. 2x12.5 kW DG-13 diesel generators,,,24.0,,,,4x190 m3/h fire monitors. 8x250 m3/h water pumps,,,2023-02-18
,RBK-76,Harbor Boat,280th Target Ship Station,,18.05,18.3,3.2,1,10.0,,,diesel. 1 fixed pitch propeller,,,3.0,,20,,,,,2023-02-23
,BUK-533,Tugboat,205th Auxiliary Ship Squad,35.5,42.7,14.07,3.82,1.58,9.5,,5.0,2x150 hp 3D6S diesels. 2 fixed pitch propellers in nozzles,,,4.0,,,,,,,2023-02-25
,Krab,Harbor Tug,Temryuk Auxiliary Ship Group,303,417.0,25.4,9.3,3.6,12.0,,,2x1015 hp KTA 38 M1 diesels. 2x84 kW diesel generators. 2 rudder propellers,,,8.0,,,,2x300 m3/h fire monitors,,,2023-03-04
,RB-247,Harbor Tug,205th Auxiliary Ship Squad,168,192.0,24.4,7.22,2.1,9.0,,,2x300 hp diesels. 2 cycloidal propulsion units,,,4.0,,,,,,,2023-03-05
,RRK-2175,Harbor Boat,184th Experimental Base,9.3,,13.5,,,27.0,,0.2,2x350 hp MarineDiesel. 2 azipods,,,2.0,,,,,5.5 or 10 passengers,,2023-03-06
,VM-9,Diving Tender,145th Resue Ship Squad,92,119.0,28.58,5.5,1.73,12.2,,10.0,1x450 hp 6ChSP23/30 diesel. 1 fixed pitch propeller. 1x12.5 kW DG-13 diesel generator. 1x6.5 kW DG-10 diesel generator,,,,,,,1 diving complex (1 pressure chamber)  60 m,,,2023-03-07
,GS-86,Hydrographic Ship,47th Hydrographic Area,939,1190.0,61.33,10.81,3.24,13.37,,15.0,2x960 hp Cegielski-Sulzer 6AL25/30 diesels. 2x143 hp electric motors mSS5e. 2 controllable pitch propellers. 3x180 kW diesel-generators,,2 Mius navigation radars. Rumb radio direction finder,,,,,,,,2023-03-21
499.0,Admiral Makarov,Guided Missile Frigate,30th Surface Ship Division,3350,3860.0,124.8,15.2,4.66,30.0,,30.0,1x46000 hp M7N1 (2x6000 hp gas turbines. 2x17000 hp forsage gas turbines). 2 fixed pitch propellers. 4x800 kW diesel-generators,1x8 VLS Kalibr-NK guided missile complex (8 missiles) 2x12 Shtil-1 SAM system VLS (24 missiles)) 1x1 100 mm – A-190-01 2x6 30 mm AK-630M 2x1 12.7 mm 6P58 Kord heavy machine guns8x1 SAM Igla-1Elaunchers 2x2 533 mm DTA-53-11356 torpedo tubes 1x12 RBU-6000 RPK-8E launcher 2x10 55 mm DP-65 grenade launcher 1 Ka-27 or Ka-31 helicopter1 Orlan-10 unmanned aerial vehicle,MR-710 Fregat-M1356). 3Ts-25EK air/surface search radar. MR-212/201-1 Vaygach-U navigation radar. Bridge-Masternavigation radar. Nucleus-2-6000A. TK-25» complex. MGK-335EM-03 Platina sonar. MG-757.1 Anapa-M anti-saboteur sonar. Trebovanie-M combat information control system. Tsentavr satellite communication complex. PK-10 Smely decoy RL (4 KT-216 launchers),220.0,,,,,,,2023-03-26
,PD-88,Floating Dock,13th Ship Repair Plant,,18500.0,155,35.5,4.5,,,,2x300 kW diesel generators. 1x100 kW diesel generator,,,25.0,,,,,7500,,2023-03-27
,VTN-96,Seagoing Small Tanker,61th Auxiliary Ship Group Novorossiysk,539,1127.0,53.77,9.72,3.37,10.0,,10.0,1x600 hp 6DR30/50-5-3 diesel. 1 fixed pitch propeller in rotate nozzle. 2x100 kW diesel-generators. 1x50 kW diesel-generator,,Don navigation radar,20.0,,,,,500,,2023-03-31
,RVK-1112,Diving Boat,145th Resue Ship Squad,100,118.0,28.09,5.56,1.5,13.7,,5.0,2x600 hp diesels. 2 fixed pitch propellers. 1 bow thruster. 2x80 kW diesel-generatros. 1x20 kW diesel-generator,,,8.0,,,,1 diving complex (1 hyperbaric chamber)  60 meters,,,2023-04-09
,Koyda,Seagoing Medium Tanker,58th Auxiliary Ship Group Feodosia,2910,7240.0,121.9,16.0,6.51,17.7,,30.0,2x4500 hp 58D diesels. 2 fixed pitch propellers. 2x300 kW diesel generators. 3x100 kW diesel generators. 1x25 kW diesel generator,2x4 57 mm ZIF-75 – 2 MR-103 Bars Fire control system – then removed,MR-302 Rubka air/surface search radar. Neptunenavigation radar,75.0,,,,,3600,,2023-04-09
375.0,Dmitry Rogachev,Patrol Ship,184th Novorossiysk Coastal Defense Brigade,,1965.0,91.3,4.5,4.8,22.5,,60.0,2x6000 hp 16D49 diesels. 4x300 kW diesel-generators. 1x100 kW diesel-generator. 2 fixed pitch propellers,1 Ka-27PS helicopter1 high-speed assault boat - Project 02800 9K338 Igla-S SAM system (8 9M342 missiles) 1x1 76 mm AK-176MA-01 – MR123-02/3 Bagira fire control system2x1 14.5 mm MTPU-1 Zhalo1x10 55 mm DP-65 grenade launcher (RG-55M. GRS-55 grenades) 2x2 45 mm DP-64 grenade launchers (SG-45. FG-45 grenades),TK-25E Electronic Counter Measures (ECM) system. Pallada anti-saboteur sonar PK-10 Smely Electronic Counter Measures (ECM) system (KL-121 launcher),,,,,,,,2023-04-12
,KSV-67,Communication Boat,61th Auxiliary Ship Group Novorossiysk,370,400.0,49,9.0,2.4,22.0,,10.0,2x5000 hp diesels. 2 fixed pitch propellers. 2 diesel-generators,,Mius navigation radar,8.0,,12,,,,,2023-04-16
,BGK-774,Large Hydrographic Boat,58th Auxiliary Ship Group Feodosia,96,126.0,28.58,5.41,1.79 (max – 1.98),11.85,,10.0,1x450 hp 6ChSP23/30 diesel. 1 fixed pitch propeller. 2 diesel-generators x25 kW. 1 diesel-generator x12 kW. 1 diesel-generator x12 kW,,Donets-2 navigation radar,,,,,,,,2023-04-28
,MKSch-54,Target Barge,280th Target Ship Station,,53.0,22,6.6,1.5,,,,Non self-propelled,,,,,,,,,,2023-05-01
,MKSch-38,Target Barge,280th Target Ship Station,,53.0,22,6.6,1.5,,,,Non self-propelled,,,,,,,,,,2023-05-07
,KSV-2155,Communication Boat,115th Commandant Office,370,419.0,48.79,9.1,2.9,16.0,,5.0,2x1775 hp Caterpillar 3512V diesels. 2 fixed pitch propellers. 2 D6-150AF-2 diesel-generators x150 kW,,Tsentavr-NM1 satellite communication complex,10.0,,29,,,,,2023-05-08
54.0,Eysk,ASW Corvette,184th Novorossiysk Coastal Defense Brigade,910,1055.0,71.07,10.15,3.71,31.67,,10.0,1x18000 hp M-8 gas turbine. 2x10000 hp M-507A-1P diesels or 2x10000 hp M-507A-2 diesels. 3 fixed pitch propellers. 1x500 kW ASDG-500 diesel generator. 1x300 kW diesel generator. 1x200 kW diesel generator,1x2 ZIF-122 4K33 Osa-MA SAM system launcher (20 9M33M missiles) - 4R-33A 1x2 or 1x4 9K34 Strela-3 SAM system launcher (8 9M36 missiles) or 9K38 Igla SAM system (8 9M39 missiles)1x1 76 mm AK-176 (304 rounds). 1x6 30 mm AK-630M (3000 rounds) - MR-123 Vympel-A fire control system2x2 533 mm DTA-53-1124 torpedo tubes (4 torpedoes TEST-71. TEST-71M. SET-65. SET-53. SET-53M. 53-65K) - Drakon fire control system1x12 RBU-6000 Smerch-2 (48 RGB-60) 12 BB-1 or BPS depth charges 18 mines,MR-755 Fregat-MA1 air/surface search radar. Vympel-R2 reconnaissance radar. MR-212 Vaygach navigation radar. Nickel IFF . ARP-50R radio direction finder. Spektr-F laser detection warning system. MGK-335 Platina sonar. MG-339T Shelon sonar. MG-26 Khosta underwater communication system. KMG-12 Kassandra sonar. MGS-407K sonar. MI-110K and MI-110R anti-submarine search station PK-16 decoy RL (2 launchers KL-101) and PK-10 Smely (4 KT-216 launchers),,,,,,,,2023-05-19
,VM-86,Diving Tender,314th Rescue Ship Squad Novorossiysk,92,119.0,28.58,5.5,1.73,12.2,,10.0,1x450 hp 6ChSP23/30 diesel. 1 fixed pitch propeller. 1x12.5 kW DG-13 diesel generator. 1x6.5 kW DG-10 diesel generator,,,,,,,1 diving complex (1 pressure chamber)  60 m,,,2023-05-19
,PPKS-15,Floating Painting Station,91th Ship Repair Plant,447,553.0,36.06,9.16,2.65,11.0,,5.0,1x1215 hp 9L20/27 diesel. 3x168 kW diesel generators. 2 rudder propellers,,,21.0,,,,,,,2023-05-20
913.0,Kovrovets,Seagoing Minesweeper,68th Coastal Defense Ship Brigade ,745,800.0,61,10.2,2.97,17.0,,10.0,2x2500 hp M-503B-3 diesels. 2 fixed pitch propellers in nozzles2x200 kW DGRA-200/1500 diesel generators. 1x100 kW DGRA-100/1500 diesel generator,2x2 30 mm AK-230M - 2000 rounds - MR-104 Rys fire control system2x2 25 mm 2M-3M - 2000 rounds 2x5 RBU-1200M Uragan (68 RGB-12) 32 BB-1 or 7 KMD-1000 mines KIU-1 sweep. BKT contact sweep. TEM-4 magnetic sweep. AT-3 acoustic swwp. ShZ-1 or ShZ-2 detonating cord,MR-302 Rubka air/surface search radar. 2 Don-D navigation radars. Nikhrom-R IFF. MG-69 Lan mine search sonar. MG-79 Mezen mine search sonar. MG-26 Khosta underwater communication system,,,,,,,,2023-05-21
842.0,TL-842,Torpedo Retriever,68th Coastal Defense Ship Brigade ,84.7,91.4,29.6,5.99,1.5,22.0,,5.0,2x1200 hp M-50F-4 diesels. 2 fixed pitch propellers,,Donets-2 navigation radar,15.0,,,,,,,2023-06-04
,MUS-495,Oil Skimmer,205th Auxiliary Ship Squad,24.7,39.12,20.7,4.68,1.54,3.3,,3.0,1x115 hp K171-M diesel. 1 rudder propeller,,,2.0,,,,,,15.0,2023-06-07
844.0,P-433 Pavel Silaev,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,138.69,,31.04,7.4,1.86,23.0,,5.0,2x1822 hp MTU 12V2000M93 diesels. 2 fixed pitch propellers. 2x100 kW DGA-100-V-A1-MPS diesel-generators,4x1 SAM system 9K38 Igla launchers (9M39 missiles) 1x1 14.5 mm MTPU-1 Zhalo1x10 55 mm DP-65A grenade launcher (RG-55M. GRS-55 grenades)1x2 45 mm DP-64 grenade launcher (FG-45. SG-45 grenades) 1 diving complex (1 diving chamber). Falcon Underwater Remotely Operated Vehicle,MR-231 navigation radar. MTK-201M3 electronic-optical television system. Filin (P-104) optical system. Kalmar sonar complex. MG-757 Anapa-M anti-saboteur sonar,8.0,,,,,,,2023-06-07
,SMK-2094,Diving Boat,Sevastopol Diving Training Center,101,109.0,21.4,9.0,1.31,10.0,,3.0,2x380 hp diesels. 2 propeller-steering columns,,,8.0,,,,1 dive complex (1 pressure chamber) - 45 meters,,,2023-06-08
363.0,Pavel Derzhavin,Patrol Ship,184th Novorossiysk Coastal Defense Brigade,,1965.0,91.3,4.5,4.8,22.5,,60.0,2x6000 hp 16D49 diesels. 4x300 kW diesel-generators. 1x100 kW diesel-generator. 2 fixed pitch propellers,1 Ka-27PS helicopter1 high-speed assault boat - Project 02800 9K338 Igla-S SAM system (8 9M342 missiles) 1x1 76 mm AK-176MA-01 – MR123-02/3 Bagira fire control system2x1 14.5 mm MTPU-1 Zhalo1x10 55 mm DP-65 grenade launcher (RG-55M. GRS-55 grenades) 2x2 45 mm DP-64 grenade launchers (SG-45. FG-45 grenades),TK-25E Electronic Counter Measures (ECM) system. Pallada anti-saboteur sonar PK-10 Smely Electronic Counter Measures (ECM) system (KL-121 launcher),,,,,,,,2023-06-14
,MGK-1067,Small Hydrographic Boat,55th Independent Hydrographic Vessel Division Novorossiysk,4.9,6.1,9.3,2.74,0.64,8.1,,1.0,1x95 hp SW400/M2 diesel. 1 fixed pitch propeller,,,,,,,,,,2023-06-15
,AS-28,Deep-Submergence Rescue Vehicle,145th Resue Ship Squad,,,13.5,3.8,,,,,,,MGA-19 Krilyon sonar. MGS-22 Gletcher sonar. MGA-25 Protey-6 underwater communications system. MSTA-M-AS navigation complex,,,,5.0,,,,2023-06-22
