#,Name,Type,Division,Displacement Standard (tons),Displacement Full load (tons),Length (m),Beam (m),Draft (m),Speed (knots),Range,Autonomy (days),Propulsion,Armament,Electronics,Complement,Cargo,Passengers,Endurance (days),Special equipment,Capacity (tons),Capacity (c.m.),Destruction Date
121.0,Moskva,Guided Missile Cruiser,,9300,11280.0,186,20.8,6.28,32.5,,30.0,2x71000 hp GTA M-21 (10000 hp M-70. 2x27500 hp M-8KF. 1x6000 hp steam turbine). 2 fixed pitch propellers. 6x1500 kW turbine-type generators. 6x1250 kW turbine-type generators,8x2 SM-248 launchers «Vulkan» anti-ship missile complex – Fire control «Argon-1164» (16 P-1000 missiles (3M70) 8x1 B-204 3M41 «Fort» SAM system launchers (64 V-500R missiles (5V55RM)) 2x2 ZIF-122 4K33 «Osa-M» SAM system launchers (40 9M33 missiles) – 4R-33 fire control system 1x2 130 mm AK-130 (600 rounds) – MR-184 «Lev-218» fire control system 6x6 30 mm AK-630 (48000 rounds) – 2 MR-123 «Vympel-A» fire control systems 2x1 45 mm 21KM 2x5 533 mm PTA-53-1134 torpedo tubes (10 SET-65 torpedoes) 2x12 RBU-6000 «Smerch-2» (144 RGB-60) – «Burya» fire control system 1 Ka-27 helicopter,MR-800 «Flag» radar complex (MR-600 «Voskhod» air/surface search radar. MR-710 «Fregat-M» air/surface search radar . 2 MP-152 «Gurzuf-B» ESM Radar systems. MR-262 «Ograda» ESM Radar system. MP-401 «Start» ESM Radar system. MP-407 «Start-2» ESM Radar system. MRP-52 «Koltco» reconnaissance radar. 2 «Vaygach» navigation radars. MGK-335 «Platina» sonar. «Lesorub-1164» combat information control system. «Korvet-5» satellite communication system. R-790 «Tcunami-BM» satellite communication system. «Kristall» satellite communication system. «Tayfun-2» communication system. «Salgir-UZ» navigational complex PK-10 «Smely» decoy RL (12 KT-216 launchers). PK-2M decoy RL (2 ZIF-121 launchers) – «Tertciya» fire control system,,,,,,,,2022-04-13
,Victor Cherokov,Trial Ship,58th Auxiliary Ship Group Feodosia,1540,1985.0,61.5,15.8,3.5,10.5,,10.0,2x600 hp Deutz F8M1015MC electric motors. 2 fixed pitch propellers. 1 bow thruster. 3x318 kW diesel generators,2x1 torpedo tubes 1x2 torpedo tubes,,23.0,,,,,,,2022-04-16
,RVK-767,Diving Boat,314th Rescue Ship Squad Novorossiysk,100,118.0,28.09,5.56,1.5,13.7,,5.0,2x600 hp diesels. 2 fixed pitch propellers. 1 bow thruster. 2x80 kW diesel-generatros. 1x20 kW diesel-generator,,,8.0,,,,1 diving complex (1 hyperbaric chamber)  60 meters,,,2022-04-24
,MKSch-45,Target Barge,280th Target Ship Station,,53.0,22,6.6,1.5,,,,Non self-propelled,,,,,,,,,,2022-04-27
,BGK-889,Large Hydrographic Boat,47th Hydrographic Area,96,126.0,28.58,5.41,1.79 (max – 1.98),11.85,,10.0,1x450 hp 6ChSP23/30 diesel. 1 fixed pitch propeller. 2 diesel-generators x25 kW. 1 diesel-generator x12 kW. 1 diesel-generator x12 kW,,Mius navigation radar,,,,,,,,2022-05-02
,UTS-150,Training Station,58th Auxiliary Ship Group Feodosia,,,,,,,,,,,,,,,,,,,2022-05-13
,VM-154,Diving Tender,145th Resue Ship Squad,279,298.0,40.9,8.1,2.07,12.5,,10.0,2x300 hp 3D12 diesels. 2 fixed pitch propellers. 2x50 kW diesel generators. 1x25 kW diesel generator,,,30.0,,,,2 diving complexes (1 pressure chamber)  60 m,,,2022-05-14
,Boris Slobodnik,Large Hydrographic Boat,55th Independent Hydrographic Vessel Division Novorossiysk,177.1,223.2,33.21,6.8,1.6,12.7,,10.0,2x337 hp diesels. 2 fixed pitch propellers. 1 bow thruster,,,9.0,,,,,,,2022-05-18
,RK-399,Harbor Boat,68th Coastal Defense Ship Brigade ,,,,,,,,,,,,,,,,,,,2022-05-21
368.0,Vasily Bykov,Patrol Ship,184th Novorossiysk Coastal Defense Brigade,,1965.0,91.3,4.5,4.8,22.5,,60.0,2x6000 hp 16D49 diesels. 4x300 kW diesel-generators. 1x100 kW diesel-generator. 2 fixed pitch propellers,1 Ka-27PS helicopter1 high-speed assault boat - Project 02800 9K338 Igla-S SAM system (8 9M342 missiles) 1x1 76 mm AK-176MA-01 – MR123-02/3 Bagira fire control system2x1 14.5 mm MTPU-1 Zhalo1x10 55 mm DP-65 grenade launcher (RG-55M. GRS-55 grenades) 2x2 45 mm DP-64 grenade launchers (SG-45. FG-45 grenades),TK-25E Electronic Counter Measures (ECM) system. Pallada anti-saboteur sonar PK-10 Smely Electronic Counter Measures (ECM) system (KL-121 launcher),,,,,,,,2022-05-25
,RK-214,Harbor Boat,47th Hydrographic Area,2.45,3.2,7.8,2.5,0.8,13.0,,,1x55 hp 6ChSP9.5/11 diesel. 1 fixed pitch propeller,,,1.0,,,,,6,,2022-05-26
,Enisey,Hospital Ship,205th Auxiliary Ship Squad,9430,11623.0,152.6,19.4,6.39,19.0,,40.0,2x7800 hp. diesels Zgoda-Sulzer 12ZV40/48. 2 variable pitch propellers. 4 diesel-generators x1000 kW,1 search and rescue helicopter Ka-25PS or Ka-27PS,MR-212/201 Vaygach-U navigation radar. Rumb radio direction finder,,,,,,,,2022-05-27
,BKSch-30,Target Barge,280th Target Ship Station,,142.0,68,8.0,1.3,,,,Non self-propelled,,,,,,,,,,2022-06-03
,BGK-890,Large Hydrographic Boat,55th Independent Hydrographic Vessel Division Novorossiysk,96,126.0,28.58,5.41,1.79 (max – 1.98),11.85,,10.0,1x450 hp 6ChSP23/30 diesel. 1 fixed pitch propeller. 2 diesel-generators x25 kW. 1 diesel-generator x12 kW. 1 diesel-generator x12 kW,,Donets-2 navigation radar,,,,,,,,2022-06-04
,KIL-158,Crane Ship,205th Auxiliary Ship Squad,4200,6200.0,97.83,18.2,5.7,13.5,,45.0,2x1500 hp electric motors. 2 fixed pitch propellers. 1 bow thruster. 5x775 kW diesel generators. 3x400 kW diesel generators,,MR-201 navigation radar,47.0,,,,1 diving complex (1 hyperbaric chamber),,,2022-06-11
600.0,Grayvoron,Missile Corvette,41th Missile Boat Brigade,,949.0,74.1,11.0,2.6,25.0,,10.0,4x3944 hp CHD622V20 diesels. 2 pump-jets,1x8 3S14-21631 UKSK 3K14 launchers (Kalibr guided missile complex (8 3M14T missiles)) – 3R14N fire control system 2x6 3M-47 Gibka SAM system launchers (Igla-1M missiles) 1x1 100 mm A-190-01 – 5P-10-03 Laska fire control system 1x12 30 mm AK-630M-2 Duet 2x1 14.5 mm MTPU-1 Zhalo,5P-26 Pozitiv air/surface search radar. MR-231 navigation radar. MG-757 Anapa-M anti-saboteur sonar PK-10 Smely RL decoy (2 KT-216 launchers),52.0,,,,,,,2022-06-12
,SB-5,Salvage Tug,145th Resue Ship Squad,759,934.0,47.3,10.3,4.2,13.2,,25.0,1x1900 hp PG-150/60 electric motor. 1 fixed pitch propeller in rotating nozzle. 2x1000 kW 5D-50 diesel generators. 2x20 kW diesel generators,,,51.0,,,,2x120 m3/h fire monitors. 1000 m3/h water pumps,,,2022-06-20
,PZhK-37,Firefighting Boat,145th Resue Ship Squad,145.9,180.8,34.9,6.5,1.85,15.7,,5.0,2x900 hp M50-6 diesels. 1x450 hp 6ChSP23/30 diesel. 3 fixed pitch propellers. 2x12.5 kW DG-13 diesel generators,,,24.0,,,,4x190 m3/h fire monitors. 8x250 m3/h water pumps,,,2022-06-25
1539.0,TL-1539,Torpedo Retriever,68th Coastal Defense Ship Brigade ,269,310.0,48.6,9.0,2.22,28.7,,8.0,2x5000 hp M-504B diesels. 2 fixed propellers. 2 D6-150AF-2 diesel-generators x150 kW,,Mius navigation radar. MG-329 Sheksna sonar,20.0,6-8 533 mm torpedoes,,,,,,2022-07-02
955.0,R-60,Missile Corvette,41th Missile Boat Brigade,436,493.0,56.1,10.2,2.5,41.0,,10.0,2x16000 hp DGTA M-15A (4000 hp M-510 diesel. 12000 hp M-70 gas turbine). 2 fixed pitch propellers. 2x200 kW diesel generators. 1x100 kW diesel generator,2x2 KT-152 launchers (4 P-100 «Moskit» anti-ship missiles (3M80)) 1x4 MTU-4US «Strela-3M» or 9K310 «Igla-1» SAM system launcher (9M313 missiles) - 16 missiles 1x1 76 mm AK-176M (314 rounds) - MR-123-1 «Vympel-A» fire control system 2x6 30 mm «Palash» CIWS,34K1«Monolit» radar complex («Most». «Mayak». «Mech». «Massiv». MR-144 radars). «Don» navigation radar. «Vympel-R2» ESW radar system PK-16 decoy RL (2 KL-101 launchers),,,,,,,,2022-07-03
460.0,Ivan Antonov,Coastal Minesweeper,68th Coastal Defense Ship Brigade ,720,890.0,61.75,10.8,3.68,15.9,,10.0,2x2500 hp M-503M1 diesels. 2 fixed pitch propellers. 2 rudder propellers with nozzles. 2 transverse bow propellers. 2x315 kW diesel generators. 2x210 kW diesel generators,1x6 30 mm AK-306 (1500 rounds) - SP-520M-2 opto-electronic control system 1x1 14.5 mm MTPU-1 Zhalo (Ivan Antonov. Vladimir Emelyanov – 2x1 12.7 mm 6P58 Kord) 2 9K38 Igla SAM system launcher (8 9M39 missiles) UDM. UDM-2. UDM-500. MTPK-1. MTPK-2. MRPK-1. PMR-1. PMR-2 minesSkanda unmanned boat (№523) Alexandrit-ISPUM. Diamand. OUKT-B contact sweep. PKT-B contact sweep. Zhelatin sweep. ShAT-U acoustic sweep,PAL-N navigation radar. MTK-201M3.1 optical-television complex. Struktura-35 underwater communication system. Anapa anti-saboteur sonar. Altyn-M GISZ. Ruberoid communication complex,51.0,,,,,,,2022-07-08
,MGK-352,Small Hydrographic Boat,47th Hydrographic Area,7.96,8.52,11.25,3.3,0.73,13.8,,1.0,1x235 hp P3D6N-250 diesel. 1 pump-jet,,,,,,,,,,2022-07-09
,RB-18,Harbor Tug,61th Auxiliary Ship Group Novorossiysk,173,188.0,26.75,6.5,2.5,10.5,,6.0,1x610 hp 6VD18/15 AL-2 diesel. 1 variable pitch propeller. 2x30 kW diesel generators,,,,,,,,,,2022-07-10
,PMR-84,Non-self-propelled Floating Workshop,91th Ship Repair Plant,1188,1332.0,67.5,13.4,1.78,,,,2 x100 kWDG-100/1 diesel-generators. 1x12 kW diesel-generator,,,,,,,,,,2022-07-14
,PMR-71,Non-self-propelled Floating Workshop,58th Auxiliary Ship Group Feodosia,1254,1354.0,67.5,13.4,1.8,,,,2x150 kW DGR-150/750 diesel-generators. 1x25 kW DGA-25-9M diesel-generator,,,,,,,,,,2022-07-17
,SMK-2169,Diving Boat,145th Resue Ship Squad,101,109.0,21.4,9.0,1.31,10.0,,3.0,2x380 hp diesels. 2 propeller-steering columns,,,8.0,,,,1 dive complex (1 pressure chamber) - 45 meters,,,2022-07-18
,RK-558,Harbor Boat,115th Commandant Office,,,,,,,,,,,,,,,,,,,2022-07-20
,RK-179,Harbor Boat,68th Coastal Defense Ship Brigade ,,4.0,8.65,2.25,0.5,35.0,,,360 hp diesel,,,1.0,,12,,,,,2022-07-21
,D-296,High-Speed Landing Craft,388th Marine Reconnaissance point of the 1229th Naval Intelligence Center,,19.5,16.45,4.0,0.87,42.0,,1.0,2x780 hp diesels. 2 pump-jejt,1x1 12.7 mm or 1x1 40 mm grenade launcher4x1 7.62 mm 6P41 Pecheneg,,,,,,,,,2022-07-26
,RK-369,Harbor Boat,115th Commandant Office,,,,,,,,,,,,,,,,,,,2022-07-26
,Ivan Bubnov,Replenishment Oiler,205th Auxiliary Ship Squad,6950,24460.0,162.3,21.4,9.3,16.0,,90.0,1x9000 hp 6DNRN-74/160 diesel. 1 fixed pitch propeller. 1x500 kW turbine type generator. 2x300 kW diesel generators. 1x100 kW diesel generator,2x2 57 mm AK-725 – MR-103 Bars fire control system (then guns were removed),MR-302 Rubka air/surface search radar. Don-2 navigation radar (on Vladimir Kolechitskiy). Volga or MR-212/201 Vaygach-U navigation radar,75.0,,,,,13440,,2022-07-26
,BGK-22,Large Hydrographic Boat,47th Hydrographic Area,76,110.6,25.23,5.96,2.07,10.5,,5.0,1x150 hp 6ChSP18/22 diesel. 1 fixed pitch propeller. 1x13.3 kW diesel generator. 1x1.57 kW diesel generator,,,13.0,,,,,,,2022-07-27
,Alexander Firsov,Large Hydrographic Boat,47th Hydrographic Area,,150.0,24.2,8.5,1.4,11.5,,3.0,2x380 hp diesels. 2 fixed pitch propellers. 1 bow thruster,,,9.0,,,,,,,2022-07-28
,RB-389,Harbor Tug,205th Auxiliary Ship Squad,303,417.0,25.4,9.3,3.6,12.0,,,2x1015 hp KTA 38 M1 diesels. 2x84 kW diesel generators. 2 rudder propellers,,,8.0,,,,2x300 m3/h fire monitors,,,2022-07-28
,RK-621,Harbor Boat,280th Target Ship Station,,46.4,21,3.98,1.27,10.6,,5.0,1x150 hp. diesel 3D6S. 1 fixed pitch propeller,,,4.0,,,,,15,,2022-08-03
,PD-32,Floating Dock,13th Ship Repair Plant,,,,,,,,,,,,,,,,,900,,2022-08-08
,PPKS-27,Floating Painting Station,13th Ship Repair Plant,447,553.0,36.06,9.16,2.65,11.0,,5.0,1x1215 hp 9L20/27 diesel. 3x168 kW diesel generators. 2 rudder propellers,,,21.0,,,,,,,2022-08-11
,MB-23,Seagoing Tug,205th Auxiliary Ship Squad,717,890.0,47.3,10.3,4.14,13.2,,30.0,1x1900 hp PG-150/60 electric motor. 1 fixed pitch propeller in rotating nozzle. 2x1000 kW 5D-50 diesel generators. 2x20 kW diesel generators,,,31.0,,,,,,,2022-08-11
,VM-911,Diving Tender,58th Auxiliary Ship Group Feodosia,279,298.0,40.9,8.1,2.07,12.5,,10.0,2x300 hp 3D12 diesels. 2 fixed pitch propellers. 2x50 kW diesel generators. 1x25 kW diesel generator,,,30.0,,,,2 diving complexes (1 pressure chamber)  60 m,,,2022-08-16
,P-425 Chapaevsk,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,,23.0,16.9,4.1,0.85,48.0,,1.0,2x1150 hp Caterpillar C18 diesels. 2 pump-jets,1x1 14.5 mm 2x1 7.62 mm 6P41 Pecheneg,Nautilus navigation radar,,,,,,,,2022-08-17
,VM-34,Diving Tender,Sevastopol Diving Training Center,92,119.0,28.58,5.5,1.73,12.2,,10.0,1x450 hp 6ChSP23/30 diesel. 1 fixed pitch propeller. 1x12.5 kW DG-13 diesel generator. 1x6.5 kW DG-10 diesel generator,,,,,,,1 diving complex (1 pressure chamber)  60 m,,,2022-08-17
,PM-138,Floating Workshop,205th Auxiliary Ship Squad,4690.81,5535.69,121.7,17.0,4.62,14.3,,40.0,1x3000 hp Zgoda-Sulzer 8TAD-48 diesel. 1 fixed pitch propeller. 4x400 kW 8VAN22 diesel-generators. 1x300 kW diesel-generator 5VAN22,,Don navigation radar. Rumb radio direction finder,193.0,,,,,,,2022-08-18
665.0,D-144,Landing Craft,184th Novorossiysk Coastal Defense Brigade,61,99.7,25.65,5.66,1.52,30.0,,1.0,2x2000 hp MTU16V2000M90 diesels. 2x16 kW DG-16/1500 diesel generators,,Pal-N-3 navigation radar. MR-231-2 navigation radar (D-1441),,1 main battle tank or 2 BTR or 92 troops or 50 tons of cargo,,,,,,2022-08-22
,PM-56,Floating Workshop,205th Auxiliary Ship Squad,4690.81,5535.69,121.7,17.0,4.62,14.3,,40.0,1x3000 hp Zgoda-Sulzer 8TAD-48 diesel. 1 fixed pitch propeller. 4x400 kW 8VAN22 diesel-generators. 1x300 kW diesel-generator 5VAN22,,Don navigation radar. Rumb radio direction finder,193.0,,,,,,,2022-08-24
466.0,Vladimir Emelyanov,Coastal Minesweeper,68th Coastal Defense Ship Brigade ,720,890.0,61.75,10.8,3.68,15.9,,10.0,2x2500 hp M-503M1 diesels. 2 fixed pitch propellers. 2 rudder propellers with nozzles. 2 transverse bow propellers. 2x315 kW diesel generators. 2x210 kW diesel generators,1x6 30 mm AK-306 (1500 rounds) - SP-520M-2 opto-electronic control system 1x1 14.5 mm MTPU-1 Zhalo (Ivan Antonov. Vladimir Emelyanov – 2x1 12.7 mm 6P58 Kord) 2 9K38 Igla SAM system launcher (8 9M39 missiles) UDM. UDM-2. UDM-500. MTPK-1. MTPK-2. MRPK-1. PMR-1. PMR-2 minesSkanda unmanned boat (№523) Alexandrit-ISPUM. Diamand. OUKT-B contact sweep. PKT-B contact sweep. Zhelatin sweep. ShAT-U acoustic sweep,PAL-N navigation radar. MTK-201M3.1 optical-television complex. Struktura-35 underwater communication system. Anapa anti-saboteur sonar. Altyn-M GISZ. Ruberoid communication complex,51.0,,,,,,,2022-08-27
